C0000100,C0000200,birth_year,survey_year,age,n_items_observed,any_qualifying_event,positive_items,item_codes,item_families,in_age_window_15_25,pre_predictor_cutoff
6801,68.0,1993.0,2010,17.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
6801,68.0,1993.0,2012,19.0,1,0.0,0.0,Y2959200,physical_fight,True,False
6802,68.0,1995.0,2010,15.0,1,0.0,0.0,Y2608200,hurt_physically,True,False
6802,68.0,1995.0,2012,17.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
6803,68.0,1996.0,2012,16.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
7801,78.0,1989.0,2004,15.0,1,0.0,0.0,Y1667300,hurt_physically,True,False
7801,78.0,1989.0,2006,17.0,1,0.0,0.0,Y1940600,hurt_physically,True,False
7801,78.0,1989.0,2008,19.0,1,0.0,0.0,Y2257500,physical_fight,True,False
7801,78.0,1989.0,2010,21.0,1,0.0,0.0,Y2609100,physical_fight,True,False
7801,78.0,1989.0,2012,23.0,1,0.0,0.0,Y2959200,physical_fight,True,False
8601,86.0,1977.0,1988,11.0,1,0.0,0.0,C0730700,hurt_need_doctor,False,True
8601,86.0,1977.0,1990,13.0,1,0.0,0.0,C0942400,hurt_need_doctor,False,True
8601,86.0,1977.0,1994,17.0,3,1.0,1.0,Y0375300;Y0375900;Y0376500,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
8601,86.0,1977.0,1996,19.0,3,0.0,0.0,Y0669000;Y0669600;Y0670200,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
8601,86.0,1977.0,2000,23.0,1,0.0,0.0,Y1176200,physical_fight,True,False
8601,86.0,1977.0,2002,25.0,1,0.0,0.0,Y1416800,physical_fight,True,False
8601,86.0,1977.0,2004,27.0,1,0.0,0.0,Y1668200,physical_fight,False,False
8601,86.0,1977.0,2006,29.0,1,0.0,0.0,Y1941500,physical_fight,False,False
8601,86.0,1977.0,2008,31.0,1,0.0,0.0,Y2257500,physical_fight,False,False
8601,86.0,1977.0,2010,33.0,1,0.0,0.0,Y2609100,physical_fight,False,False
8901,89.0,1986.0,2010,24.0,1,0.0,0.0,Y2609100,physical_fight,True,False
9101,91.0,1994.0,2010,16.0,1,1.0,1.0,Y2608200,hurt_physically,True,False
9101,91.0,1994.0,2012,18.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9102,91.0,1996.0,2012,16.0,1,0.0,0.0,Y2958300,hurt_physically,True,False
9201,92.0,1982.0,1998,16.0,3,0.0,0.0,Y0966400;Y0967000;Y0967600,attacked_to_hurt;hurt_need_doctor;physical_fight,True,False
9201,92.0,1982.0,2000,18.0,1,0.0,0.0,Y1176200,physical_fight,True,False
9201,92.0,1982.0,2010,28.0,1,0.0,0.0,Y2609100,physical_fight,False,False
9201,92.0,1982.0,2012,30.0,1,0.0,0.0,Y2959200,physical_fight,False,False
9202,92.0,1992.0,2012,20.0,1,0.0,0.0,Y2959200,physical_fight,True,False
9501,95.0,1985.0,2000,15.0,1,0.0,0.0,Y1176200,physical_fight,True,False
9501,95.0,1985.0,2002,17.0,1,0.0,0.0,Y1415900,hurt_physically,True,False
9501,95.0,1985.0,2004,19.0,1,0.0,0.0,Y1668200,physical_fight,True,False
9501,95.0,1985.0,2006,21.0,1,0.0,0.0,Y1941500,physical_fight,True,False
9501,95.0,1985.0,2008,23.0,1,0.0,0.0,Y2257500,physical_fight,True,False
9501,95.0,1985.0,2010,25.0,1,0.0,0.0,Y2609100,physical_fight,True,False
